,Date,Beta0,Beta1,Beta2,Tau,Curve
193,2001-02-01,0.055584588247938306,-0.004780335763084394,-0.03143089478714351,1.2943091518551224,"NelsonSiegelCurve(beta0=0.055584588247938306, beta1=-0.004780335763084394, beta2=-0.03143089478714351, tau=1.2943091518551224)"
194,2001-03-01,0.05698369406025938,-0.013136671221807214,-0.02987362896058543,1.367395009591659,"NelsonSiegelCurve(beta0=0.05698369406025938, beta1=-0.013136671221807214, beta2=-0.02987362896058543, tau=1.367395009591659)"
195,2001-04-01,0.05980171609739822,-0.01885002709012042,-0.031305761544116004,1.0,"NelsonSiegelCurve(beta0=0.05980171609739822, beta1=-0.01885002709012042, beta2=-0.031305761544116004, tau=1.0)"
196,2001-05-01,0.06050399402277415,-0.024142530685277296,-0.0302565726852315,1.0,"NelsonSiegelCurve(beta0=0.06050399402277415, beta1=-0.024142530685277296, beta2=-0.0302565726852315, tau=1.0)"
197,2001-06-01,0.06006820101982616,-0.023645987823112294,-0.027632482038790013,1.0,"NelsonSiegelCurve(beta0=0.06006820101982616, beta1=-0.023645987823112294, beta2=-0.027632482038790013, tau=1.0)"
198,2001-07-01,0.057571577156510394,-0.020462096953505753,-0.036478988260272516,1.0630693025244655,"NelsonSiegelCurve(beta0=0.057571577156510394, beta1=-0.020462096953505753, beta2=-0.036478988260272516, tau=1.0630693025244655)"
199,2001-08-01,0.05646231495877693,-0.022160334718015512,-0.03123536143986585,1.2195774596476574,"NelsonSiegelCurve(beta0=0.05646231495877693, beta1=-0.022160334718015512, beta2=-0.03123536143986585, tau=1.2195774596476574)"
200,2001-09-01,0.058021500626486124,-0.034500187748797415,-0.03806516141874249,1.4263286457817321,"NelsonSiegelCurve(beta0=0.058021500626486124, beta1=-0.034500187748797415, beta2=-0.03806516141874249, tau=1.4263286457817321)"
201,2001-10-01,0.05279450544765913,-0.03080556917622297,-0.048221719584389575,1.0939372975235555,"NelsonSiegelCurve(beta0=0.05279450544765913, beta1=-0.03080556917622297, beta2=-0.048221719584389575, tau=1.0939372975235555)"
202,2001-11-01,0.05707750386260737,-0.038911134235159975,-0.04351140365182306,1.0,"NelsonSiegelCurve(beta0=0.05707750386260737, beta1=-0.038911134235159975, beta2=-0.04351140365182306, tau=1.0)"
203,2001-12-01,0.05906276568866885,-0.04264799817256526,-0.03915027750344209,0.9390231666667432,"NelsonSiegelCurve(beta0=0.05906276568866885, beta1=-0.04264799817256526, beta2=-0.03915027750344209, tau=0.9390231666667432)"
204,2002-01-01,0.058532714409522346,-0.042623416267560194,-0.030683564111551077,1.0,"NelsonSiegelCurve(beta0=0.058532714409522346, beta1=-0.042623416267560194, beta2=-0.030683564111551077, tau=1.0)"
205,2002-02-01,0.05813494749811044,-0.04124291845311461,-0.035104807094777465,1.0,"NelsonSiegelCurve(beta0=0.05813494749811044, beta1=-0.04124291845311461, beta2=-0.035104807094777465, tau=1.0)"
206,2002-03-01,0.06202450961798493,-0.04683629133316061,-0.01805391990614555,1.0,"NelsonSiegelCurve(beta0=0.06202450961798493, beta1=-0.04683629133316061, beta2=-0.01805391990614555, tau=1.0)"
207,2002-04-01,0.05994035503609644,-0.04359712216389015,-0.031740544809009875,1.0,"NelsonSiegelCurve(beta0=0.05994035503609644, beta1=-0.04359712216389015, beta2=-0.031740544809009875, tau=1.0)"
